best_match_score,__id_left,__id_right,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,short_name,long_name,club_name,league_name,pace,shooting,passing,dribbling,defending,physic,player_positions
0.6231772432608569,0_left,49_right,755,Jamie Vardy,35,3034,23,18.903537318110466,5,6.3682975601404905,89,32,3,0,F S,Leicester,19,15.097693115472795,21.02660731226206,1.7243406660854816,J. Vardy,Jamie Vardy,Leicester City,English Premier League,88.0,85.0,66.0,78.0,55.0,75.0,ST
0.8405645063339741,1_left,32_right,318,Pierre-Emerick Aubameyang,36,3143,22,16.352623080834743,3,4.4924869164824495,93,26,3,1,F M S,Arsenal,20,14.830358987674115,19.96428203582764,5.339657470583917,P. Aubameyang,Pierre-Emerick Aubameyang,Arsenal,English Premier League,93.0,86.0,75.0,80.0,38.0,69.0,"ST, LW"
0.011777067498419978,2_left,338_right,986,Danny Ings,38,2836,22,15.659717170521615,2,2.8490850934758782,93,35,3,0,F M S,Southampton,21,14.137379484251142,18.488031499087807,5.015938125550747,D. Ings,Daniel William John Ings,Southampton,English Premier League,76.0,81.0,67.0,78.0,32.0,69.0,ST
0.7132192613195646,3_left,13_right,618,Raheem Sterling,33,2678,20,19.799906481057405,1,7.208586284890771,100,48,5,0,F M S,Manchester City,20,18.27756874635816,31.4420103430748,10.185997404158117,R. Sterling,Raheem Shaquille Sterling,Manchester City,English Premier League,93.0,81.0,79.0,90.0,45.0,67.0,"LW, RW"
0.4326100463860321,4_left,8_right,1250,Mohamed Salah,34,2904,19,20.66331870108843,10,8.726042523980139,132,60,1,0,F S,Liverpool,16,18.37981212884188,31.37419793009758,8.425026852637531,M. Salah,Mohamed Salah Ghaly,Liverpool,English Premier League,93.0,86.0,81.0,90.0,45.0,75.0,RW
0.49715913528113315,5_left,15_right,647,Harry Kane,29,2595,18,13.297065950930119,2,3.1170063093304634,82,27,4,0,F,Tottenham,16,11.77476505190134,16.854615883901715,3.0513013089075685,H. Kane,Harry Kane,Tottenham Hotspur,English Premier League,68.0,91.0,80.0,80.0,47.0,83.0,ST
0.5933829534883788,6_left,7_right,838,Sadio Mané,35,2761,18,14.577482901513575,7,7.235693477094173,77,59,3,0,F M S,Liverpool,18,14.577482901513575,25.07320520281792,6.767014004290104,S. Mané,Sadio Mané,Liverpool,English Premier League,94.0,85.0,80.0,90.0,44.0,76.0,LW
0.8108711898175737,7_left,90_right,553,Anthony Martial,32,2672,17,13.240494780242445,6,4.618776654824615,80,30,1,0,F S,Manchester United,17,12.47932606190443,20.40956318750977,6.357817467302084,A. Martial,Anthony Martial,Manchester United,English Premier League,89.0,83.0,74.0,87.0,41.0,72.0,ST
0.7627078260334719,8_left,52_right,556,Marcus Rashford,31,2673,17,19.503727605566386,7,5.457172868773341,95,33,3,0,F M,Manchester United,11,13.4144136775285,20.24479783885181,5.906573036685586,M. Rashford,Marcus Rashford,Manchester United,English Premier League,91.0,83.0,78.0,86.0,45.0,78.0,"LM, ST"
0.7545615251358633,9_left,113_right,4105,Raúl Jiménez,38,3269,17,16.510798024013642,6,7.226940844208003,117,48,3,0,F S,Wolverhampton Wanderers,13,13.466122614219785,22.56023951806128,5.709532639943062,R. Jiménez,Raúl Alonso Jiménez Rodríguez,Wolverhampton Wanderers,English Premier League,78.0,82.0,76.0,82.0,49.0,83.0,ST
0.47165837869934923,10_left,9_right,619,Sergio Agüero,24,1462,16,15.557500325143335,3,2.9202088303864,76,19,1,0,F S,Manchester City,14,13.274030677974224,16.878254003822803,2.644766173325479,S. Agüero,Sergio Leonel Agüero del Castillo,Manchester City,English Premier League,78.0,90.0,77.0,88.0,33.0,73.0,ST
0.450339984487376,11_left,478_right,702,Tammy Abraham,34,2233,15,18.082801550626755,3,2.9130481593310837,88,21,2,0,F S,Chelsea,15,18.082801550626755,19.84191975370049,1.5461508873850107,T. Abraham,Tammy Bakumo-Abraham,Chelsea,English Premier League,74.0,78.0,59.0,72.0,31.0,70.0,ST
0.8313118014022483,12_left,4_right,447,Kevin De Bruyne,35,2818,14,8.106427835300567,20,20.62070693448186,100,133,3,0,M S,Manchester City,12,6.58409016020596,37.798310726881034,19.244823712855574,K. De Bruyne,Kevin De Bruyne,Manchester City,English Premier League,76.0,86.0,93.0,88.0,64.0,78.0,"CAM, CM"
0.6571645681732828,13_left,558_right,4456,Chris Wood,32,2462,14,17.22620151937008,1,1.4709960892796516,65,22,1,0,F S,Burnley,13,16.4650327116251,12.64265088364482,2.4554109154269104,C. Wood,Chris Wood,Burnley,English Premier League,66.0,78.0,59.0,68.0,40.0,81.0,ST
0.6349690973991563,14_left,128_right,5543,Gabriel Jesus,34,2022,14,21.015201296657324,7,3.5988582558929916,101,32,3,0,F S,Manchester City,14,20.2540324293077,27.65223385766149,7.18130973726511,Gabriel Jesus,Gabriel Fernando de Jesus,Manchester City,English Premier League,85.0,82.0,72.0,87.0,42.0,71.0,ST
0.8320554228305306,15_left,375_right,5555,Dominic Calvert-Lewin,36,2639,13,16.109842916950587,1,1.3362248316407204,85,15,9,0,F S,Everton,13,16.109842916950587,17.212499532848597,3.8967644218355417,D. Calvert-Lewin,Dominic Calvert-Lewin,Everton,English Premier League,83.0,76.0,63.0,75.0,38.0,80.0,ST
0.3550377710150844,16_left,207_right,6026,Richarlison,36,3100,13,9.842966288328169,3,6.66813437640667,89,34,8,0,F M,Everton,13,9.842966288328169,16.459749782457948,5.198306467384099,Richarlison,Richarlison de Andrade,Everton,English Premier League,83.0,78.0,72.0,81.0,50.0,80.0,"ST, RM, LM"
-0.29545840679690005,17_left,228_right,453,Son Heung-Min,30,2511,11,9.70170486625284,10,6.721727088093758,81,41,0,2,F M S,Tottenham,11,8.940535909496248,18.800011694431305,6.5140129551291475,D. Sánchez,Davinson Sánchez Mina,Tottenham Hotspur,English Premier League,74.0,45.0,56.0,65.0,82.0,81.0,CB
